Unnamed: 0,brand,model_name,screen_size,ram,rom,cams,sim_type,battary,current_price,previous_price,sale_percentage,product_rating,seller_name,seller_score,seller_followers,Reviews
99,Samsung,Galaxy A03 Core ,6.5,2.0,32.0,8MP + 5MP,Dual,5000.0,57.0,884.0,4%,4.4,Minestar,86%,1002,"[ (5 out of 5) Great Products ], [ (5 out of 5) I like it ], [ (5 out of 5) LOVE IT ], [ (5 out of 5) Nice phone ]"
100,Oppo,A78 ,6.43,8.0,256.0,50MP,Dual,0.0,154.0,2380.0,3%,4.5,Gaff Electronics Kenya,94%,165,"[ (5 out of 5) Excellent phone. ], [ (5 out of 5) Nice phone. ], [ (3 out of 5) I like it ]"
101,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,
103,Infinix,Hot 30 Play ,6.82,8.0,128.0,16MP + 8MP,Dual,6000.0,81.0,1564.0,22%,4.4,Tech Traders,86%,722,"[ (5 out of 5) meets my expectations ], [ (5 out of 5) I like it ], [ (5 out of 5) I LIKE IT ], [ (3 out of 5) I like it ], [ (5 out of 5) i like it ], [ (5 out of 5) Fabulous???????? ], [ (5 out of 5) I LIKE IT ], [ (5 out of 5) great ], [ (3 out of 5) I have mixed feelings. ], [ (5 out of 5) I love it ]"
104,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,
110,Tecno,Spark 10C ,6.6,12.0,128.0,16MP + 2MP,Dual,5000.0,75.0,1134.0,1%,4.3,BIG VIEW,100%,68,[ (4 out of 5) I like it ]
111,Tecno,Spark 10 ,6.6,8.0,128.0,50MP + 8MP + 50MP,Dual,5000.0,90.0,1768.0,23%,4.5,Minestar,86%,1002,"[ (5 out of 5) nice ], [ (5 out of 5) I like it. Thank you!! ], [ (5 out of 5) wonderful  ]"
112,,,,,,,,,,,,,,,,
113,Tecno,Spark 10 Pro ,6.8,16.0,256.0,50MP + 2MP + 32MP,Dual,5000.0,120.0,2720.0,34%,0.0,Minestar,86%,1002,No reviews
114,Samsung,Galaxy A04s ,6.5,4.0,128.0,50MP + 2MP + 2MP + 5MP,Dual,5000.0,93.0,2040.0,31%,4.1,Samsung Ecco World -,100%,177,"[ (5 out of 5) Good ], [ (4 out of 5) I like it ], [ (4 out of 5) display light ], [ (2 out of 5) charging system ], [ (5 out of 5) it's features ], [ (5 out of 5) perfect ], [ (3 out of 5) samsung A04s ], [ (5 out of 5) I like it ], [ (4 out of 5) I love it ]"
115,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,
158,Infinix,Note 12i ,6.82,4.0,128.0,50MP + 2MP + 2MP + 8MP,Dual,5000.0,104.0,2040.0,23%,4.7,SmartNets Enterprises,74%,249,"[ (4 out of 5) It's alright ], [ (5 out of 5) Enjoying every bit of my Note 12i ]"
159,Tecno,CAMON 20 ,6.67,8.0,256.0,32MP + 64MP + 2MP,Dual,5000.0,127.0,2720.0,30%,0.0,SmartNets Enterprises,74%,249,No reviews
160,Infinix,Hot 30 Play ,6.82,8.0,128.0,16MP + 8MP,Dual,6000.0,88.0,1700.0,22%,0.0,CELLINY COLLECTIONS,74%,967,No reviews
161,Samsung,Galaxy A14 ,6.6,4.0,64.0,50MP + 5MP + 2MP + 2MP + 13MP,Dual,5000.0,90.0,2448.0,44%,5.0,Minestar,86%,1002,[ (5 out of 5) samsung a14 ]
162,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,
164,Samsung,Galaxy S8 ,5.8,4.0,64.0,12MP + 8MP,Single,0.0,113.0,2720.0,38%,3.7,mzazi tech hub,54%,97,"[ (4 out of 5) perfect ], [ (5 out of 5) Samsung Galaxy s8 ], [ (4 out of 5) S8 plain ], [ (4 out of 5) I like it. ]"
165,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,
